,Index Name,Date,Open,High,Low,Close,Daily Return,Vol20,Unnamed: 8
0,NIFTY 50,3-Jul-90,-,-,-,279.02,,,
1,NIFTY 50,5-Jul-90,-,-,-,284.04,0.017831609,,
2,NIFTY 50,6-Jul-90,-,-,-,289.04,0.017450014,,
3,NIFTY 50,9-Jul-90,-,-,-,289.69,0.002246299,,
4,NIFTY 50,10-Jul-90,-,-,-,288.69,-0.003457938,,
